Tez No,Yazar,Yıl,Tez Adı,Üniversite,Dil,Tez Türü,Konu
153126,SERKAN TOPRAK,2004,Data mining for rule discovery in relational databases,Orta Doğu Teknik Üniversitesi,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
142534,OSMAN ONAT ÖNAL,2003,Data mining applications on web usage analysis and user profiling,İstanbul Teknik Üniversitesi,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
139476,CÜNEYT MUSAOĞLU,2003,Customer acquisition and retention modeling in consumer finance sector using data mining,Boğaziçi Üniversitesi,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
139268,GÖKHAN YAVAŞ,2003,Using a data mining approach for the prediction of user movements in mobile environments,İhsan Doğramacı Bilkent Üniversitesi,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
136119,KAAN KUMRU,2003,Data mining techniques and an application,Marmara Üniversitesi,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
139336,SELMİN DANIŞ,2003,Using data mining to reduce false positivies for pre-biopsy patients with moderate chance of having prostate cancer,Boğaziçi Üniversitesi,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control ; Endüstri ve Endüstri Mühendisliği = Industrial and Industrial Engineering ; Üroloji = Urology
154952,OLGA UFUK GÖREN,2003,Data mining techniques for customer relationship management: A case study for Doğuş otomotiv,Işık Üniversitesi,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
121710,LÜTFÜ YILMAZ,2002,A Decision support system using data mining an application in TMA,Yeditepe Üniversitesi,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
121008,BELGİN ÖZAKAR,2002,Finding and evaluating patterns in web repository using database technology and data mining algorithms,İzmir Yüksek Teknoloji Enstitüsü,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
111052,BERİL SİPAHİ,2002,Data mining in customer relation ship management: Model building and application in automotive industry,Marmara Üniversitesi,İngilizce,Doktora,İşletme = Business Administration
